periode_data,wilayah,no_registrasi,kode_barang,alamat,type,lintang,bujur,keterangan
2024,KOTA ADM. JAKARTA TIMUR,JPO210800303,134010210001,JL. JENDERAL AHMAD YANI (Dekat Lapangan Golf Rawamangun) (JPO HALTE BUSWAY UTAN KAYU RAWAMANGUN),JPO,-6.197426,106.873944,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800175,134010210001,Rumah Sakit Premier,JPO,-6.221911,106.868054,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800348,134010210001,JL. JATINEGARA TIMUR (Depan Rs Premier Jatinegara),JPO,-6.221905,106.868124,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800349,134010210001,"Jl. Bekasi Barat, RT.4/RW.2, Rw. Bunga, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13350 (Halte Busway Stasiun Jatinegara)",JPO,-6.2156507,106.8682058,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800350,134010210001,JL. RAYA BEKASI BARAT (Depan Stasiun Jatinegara),JPO,-6.215426,106.869546,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800271,134010210001,JL. Dr. SUMARNO (Depan Walikota KOTA ADM. JAKARTA TIMUR) (JPO HALTE BUSWAY WALIKOTA KOTA ADM. JAKARTA TIMUR),JPO,-6.212602,106.945071,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800365,134010210001,"Jl. I Gusti Ngurah Rai, RW.9, Jatinegara, Kec. Cakung, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13470 (Halte Busway Buaran)",JPO,-6.21512,106.8826511,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800275,134010210001,JL. I GUSTI NGURAH RAI (Samping Kantor Pemasaran Podomoro Park),JPO,-6.215219,106.918192,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800282,134010210001,JL. I GUSTI NGURAH RAI (Depan Bengkel2 Onderdil ),JPO,-6.213732,106.889993,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800366,134010210001,"Jl. Jendral Ahmad Yani RT.4/RW.3, Rw. Bunga, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13410 (Halte Busway Flyover Jatinegara)",JPO,-6.2151586,106.8717036,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800283,134010210001,JL. RAYA BEKASI BARAT (Fly Over Jatinegara),JPO,-6.215232,106.873489,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800277,134010210001,JL. I GUSTI NGURAH RAI (Depan Mall Citra),JPO,-6.213594,106.902492,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800274,134010210001,JL. I GUSTI NGURAH RAI (Dekat Fly Over Raden Inten),JPO,-6.21598,106.924362,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800151,134010210001,Imigrasi,JPO,-6.214718,106.881855,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800305,134010210001,JL. BEKASI TIMUR RAYA (Depan Kantor Imigrasi JakartaTimur),JPO,-6.214724,106.881957,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800276,134010210001,JL. I GUSTI NGURAH RAI (Depan Bengkel Yamaha),JPO,-6.214386,106.911332,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800154,134010210001,Pasar Enjo,JPO,-6.214872,106.877818,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800308,134010210001,JL. BEKASI TIMUR RAYA (Depan Koppas Klender),JPO,-6.214984,106.87782,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800272,134010210001,JL. RAYA PENGGILINGAN (Dekat Fly Over Pondok Kopi) (JPO HALTE BUSWAY PENGGILINGAN),JPO,-6.21445,106.939614,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800273,134010210001,JL. I GUSTI NGURAH RAI (Dekat Stasiun Buaran) (JPO HALTE BUSWAY PERUMNAS KLENDER),JPO,-6.216674,106.93097,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800325,134010210001,JPO Pulogebang,JPO,-6.187622,106.959854,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800278,134010210001,JL. I GUSTI NGURAH RAI (Depan Pusat Pelatihan Pertanian),JPO,-6.213455,106.898025,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800003,134010210001,JL. BASUKI RAHMAT (Belokan SMK 50),JPO,-6.229126,106.888806,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800028,134010210001,JL. MATRAMAN (Depan Indomaret / Shop & Drive/ Hotel PAx),JPO,-6.205407,106.858138,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800063,134010210001,JL. OTTO ISKANDAR DINATA (Depan Sekolah Cahaya Sakti/Terminal kampung Melayu),JPO,-6.225581,106.867039,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800374,134010210001,JL. OTTO ISKANDAR DINATA (Depan Hotel Fiducia),JPO,-6.239515,106.86931,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800172,134010210001,JL. BASUKI RAHMAT (Cipinang Jaya / Depan Basura),JPO,-6.224502,106.877061,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800089,134010210001,JPO reguler JL. RAYA BOGOR (Dekat Pasar Induk Kramat Jati),JPO,-6.2971382,106.8713544,Reguler
2024,KOTA ADM. JAKARTA TIMUR,JPO210800136,134010210001,JL. BASUKI RAHMAT (Depan Pasar Gembrong / Masjid),JPO,-6.224486,106.876969,Busway
2024,KOTA ADM. JAKARTA TIMUR,JPO210800181,134010210001,JL. MATRAMAN (Depan Kantor Pos Jatinegara),JPO,-6.213897,106.862987,Reguler
