video_id,link,title,published_at_utc,published_date_wib,published_time_wib,channel_id,channel_title,channel_subscribers,view_count,like_count,comment_count,is_short
RNds24hpkXQ,https://www.youtube.com/watch?v=RNds24hpkXQ,Tutut berdukacita untuk gojek ( Affan Kurniawan)?????????????,2025-08-29T06:00:58Z,8/29/2025,13:00:58,UCZNw9FR_jhzto6pXeTwWNiw,Fauzi,23,633,9,0,TRUE
65hZ6JnVypM,https://www.youtube.com/watch?v=65hZ6JnVypM,DEMO OJOL HARI INI,2025-08-29T05:58:46Z,8/29/2025,12:58:46,UCZu1n02JWqg67XtUtlVB5hQ,TV MISTERI,13900,113974,231,0,FALSE
SIksu69hyfc,https://www.youtube.com/watch?v=SIksu69hyfc,Ribuan Ojol Mengiringi Jenazah Mas Affan Kurniawan Ojol Yang Terlind4s Mobil Brimob ????,2025-08-29T05:58:10Z,8/29/2025,12:58:10,UCDANpI2400sG03lZN0AfUdA,MANQHUL SHORTS,12400,2139,24,2,TRUE
70r4k1596w8,https://www.youtube.com/watch?v=70r4k1596w8,FULL Prabowo Minta Usut Tuntas Insiden Rantis Tabrak Ojol Secara Transparan | iNews Terkini (29/8),2025-08-29T05:54:33Z,8/29/2025,12:54:33,UCoSkllfpgmFHtbVK835QaQg,Official iNews,9930000,3048,36,36,FALSE
V_hm5b2Zs1Q,https://www.youtube.com/watch?v=V_hm5b2Zs1Q,TEWASNYA DRIVER OJOL PICU KEJAR-KEJARAN MOBIL BRIMOB DI TANAH ABANG,2025-08-29T05:53:49Z,8/29/2025,12:53:49,UCWEvJoTAcQc1S7qxq5a885A,Radar Tuban TV,6240,1007,15,0,TRUE
wPfXPKVJrFs,https://www.youtube.com/watch?v=wPfXPKVJrFs,Selamat jalan pejuang keluarga #affankurniawan #ojol #ojolstory #dpr #aksi #dprri,2025-08-29T05:53:31Z,8/29/2025,12:53:31,UCHHiqo5C0LO0yd_10CYgAqg,Yote LD,70900,5772,180,10,TRUE
axl7XmqDYEs,https://www.youtube.com/watch?v=axl7XmqDYEs,turutbrduka cita untuk kawan kita affan#ojolberduka #keadilanuntukojol #grab #gojek #demo #newberita,2025-08-29T05:52:15Z,8/29/2025,12:52:15,UC9oQL_pQKnrBlGigPy3e7CQ,Isun Iki Sopo,1410,2185,166,14,FALSE
m8wsG1Sw6aY,https://www.youtube.com/watch?v=m8wsG1Sw6aY,ribuan ojol turun kejalan #prayojol#demo#ojolbersatu #grab #gojek#indonesiamenagis#aksidemo,2025-08-29T05:52:13Z,8/29/2025,12:52:13,UCgVql9ZgZ85SgOMmQt70RJg,aa Onny adventure,453,520,8,0,TRUE
kc8BQkg50S8,https://www.youtube.com/watch?v=kc8BQkg50S8,Ojol DILINDAS Brimob? #shorts,2025-08-29T05:51:27Z,8/29/2025,12:51:27,UCl5CVfRyt-6Qa6-X-kYxmYw,Gerald Vincent (geraldvincentt),1340000,957310,88124,6127,FALSE
x8Fcq5rcVms,https://www.youtube.com/watch?v=x8Fcq5rcVms,"Gojek Beri Santunan untuk Keluarga Affan, Ojol yang Dilindas Mobil Brimob",2025-08-29T05:50:35Z,8/29/2025,12:50:35,UCPAxpUn1mrn14xU0JpsLhDg,Kompas.com,5620000,6142,69,15,FALSE
